Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:42:58:823,4,1032.00,18762.00,8058.39,17928.00,17329.00,24940.00,6944.00,11941.00,8523.00,
05/10/19-11:42:58:823,4,1032.00,18762.00,8057.88,17946.00,17329.00,24938.00,6933.00,11953.00,8523.00,
05/10/19-11:42:58:823,4,1032.00,18761.00,8056.34,17960.00,17339.00,24938.00,6940.00,11942.00,8523.00,
05/10/19-11:43:58:823,4,1032.00,18762.00,8053.78,17951.00,17333.00,24937.00,6919.00,11945.00,8507.00,
05/10/19-11:43:58:823,4,1032.00,18762.00,8056.86,17939.00,17334.00,24938.00,6922.00,11946.00,8498.00,
05/10/19-11:43:58:823,4,902.00,16806.00,5684.03,15694.00,15177.00,21883.00,6116.00,10464.00,7483.00,
05/10/19-11:43:58:823,4,1032.00,18769.00,7930.27,17902.00,17332.00,24940.00,7004.00,11967.00,8585.00,
05/10/19-11:43:58:823,4,1032.00,18771.00,8050.71,17927.00,17337.00,24940.00,6985.00,11969.00,8577.00,
05/10/19-11:43:58:823,4,1032.00,18769.00,8056.34,17938.00,17325.00,24941.00,6977.00,11959.00,8566.00,
05/10/19-11:43:58:823,4,1032.00,18768.00,8056.34,17925.00,17347.00,24940.00,6981.00,11961.00,8557.00,
05/10/19-11:43:58:823,4,1033.00,18771.00,8056.34,17932.00,17312.00,24938.00,6967.00,11954.00,8540.00,
05/10/19-11:43:58:823,4,1032.00,18769.00,8056.34,17947.00,17333.00,24939.00,6959.00,11951.00,8541.00,
05/10/19-11:43:58:823,4,1032.00,18769.00,8056.86,17944.00,17335.00,24941.00,6947.00,11945.00,8533.00,
05/10/19-11:43:58:823,4,1032.00,18770.00,8056.34,17934.00,17343.00,24941.00,6949.00,11945.00,8533.00,
05/10/19-11:43:58:823,4,1032.00,18771.00,8056.34,17945.00,17313.00,24941.00,6942.00,11950.00,8533.00,
05/10/19-11:43:58:823,4,1032.00,18769.00,8056.34,17951.00,17353.00,24941.00,6937.00,11951.00,8533.00,
05/10/19-11:44:58:822,4,1032.00,18768.00,8053.27,17938.00,17291.00,24937.00,6926.00,11960.00,8552.00,
05/10/19-11:44:58:822,4,1032.00,18772.00,8056.34,17939.00,17359.00,24941.00,6925.00,11946.00,8505.00,
05/10/19-11:44:58:822,4,901.00,16568.00,5665.06,15710.00,15173.00,21873.00,6114.00,10465.00,7483.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,7928.22,17946.00,17293.00,24941.00,7011.00,11976.00,8588.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8050.19,17897.00,17384.00,24945.00,6999.00,11970.00,8569.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8056.34,17912.00,17297.00,24940.00,6989.00,11962.00,8571.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8056.34,17964.00,17338.00,24937.00,6972.00,11963.00,8563.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8056.34,17942.00,17348.00,24938.00,6970.00,11957.00,8547.00,
05/10/19-11:44:58:822,4,1032.00,18777.00,8056.34,17926.00,17297.00,24941.00,6965.00,11956.00,8540.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8056.86,17957.00,17367.00,24942.00,6950.00,11948.00,8541.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8056.34,17967.00,17312.00,24941.00,6943.00,11955.00,8541.00,
05/10/19-11:44:58:822,4,1032.00,18776.00,8056.34,17922.00,17326.00,24938.00,6943.00,11946.00,8541.00,
05/10/19-11:44:58:822,4,1032.00,18778.00,8056.86,17916.00,17343.00,24940.00,6936.00,11951.00,8541.00,
05/10/19-11:45:58:822,4,1032.00,18776.00,8053.27,17947.00,17323.00,24938.00,6939.00,11945.00,8517.00,
05/10/19-11:45:58:822,4,1032.00,18776.00,8056.34,17923.00,17333.00,24943.00,6927.00,11951.00,8516.00,
05/10/19-11:45:58:822,4,900.00,16448.00,5645.59,15636.00,15166.00,21881.00,6118.00,10469.00,7489.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,7925.66,17931.00,17350.00,24945.00,7017.00,11985.00,8599.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8050.19,17949.00,17315.00,24945.00,7009.00,11973.00,8582.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8055.83,17940.00,17359.00,24938.00,6997.00,11979.00,8570.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17959.00,17307.00,24943.00,6971.00,11975.00,8571.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17949.00,17345.00,24943.00,6974.00,11967.00,8555.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17933.00,17329.00,24942.00,6968.00,11969.00,8545.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17905.00,17307.00,24931.00,6961.00,11966.00,8537.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17951.00,17349.00,24922.00,6951.00,11960.00,8537.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17937.00,17307.00,24934.00,6945.00,11953.00,8537.00,
05/10/19-11:45:58:822,4,1032.00,18784.00,8056.34,17906.00,17344.00,24941.00,6942.00,11955.00,8537.00,
