Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:35:12:905,3,971.00,16968.00,8236.74,18436.00,17990.00,24466.00,6826.00,12736.00,8827.00,
06/28/19-16:35:12:905,3,971.00,16968.00,8236.74,18692.00,18107.00,24633.00,6824.00,12735.00,8820.00,
06/28/19-16:35:12:905,3,969.00,16969.00,8236.74,17965.00,18123.00,24500.00,6826.00,12731.00,8820.00,
06/28/19-16:35:12:905,3,969.00,16968.00,8236.74,17805.00,17755.00,24460.00,6819.00,12736.00,8805.00,
06/28/19-16:35:12:905,3,974.00,16968.00,8238.28,17635.00,18210.00,24534.00,6834.00,12725.00,8771.00,
06/28/19-16:35:12:905,3,972.00,16969.00,8240.84,17902.00,16987.00,24522.00,6832.00,12731.00,8765.00,
06/28/19-16:35:12:905,3,971.00,16969.00,8240.84,18265.00,17791.00,24556.00,6820.00,12724.00,8773.00,
06/28/19-16:35:12:905,3,974.00,16968.00,8240.84,17807.00,17526.00,24527.00,6825.00,12726.00,8768.00,
06/28/19-16:35:12:905,3,970.00,16968.00,8240.84,17698.00,17788.00,24541.00,6817.00,12719.00,8764.00,
06/28/19-16:35:12:905,3,971.00,16971.00,8240.84,18025.00,17889.00,24647.00,6833.00,12728.00,8764.00,
06/28/19-16:35:12:905,3,972.00,16969.00,8240.84,17766.00,17897.00,24674.00,6828.00,12726.00,8764.00,
06/28/19-16:35:12:905,3,970.00,16970.00,8240.84,17961.00,18024.00,24499.00,6827.00,12730.00,8764.00,
06/28/19-16:35:13:122,3,971.00,16968.00,8237.76,17996.00,18633.00,24521.00,6829.00,12728.00,8793.00,
06/28/19-16:35:13:122,3,971.00,16968.00,8236.74,17842.00,18039.00,24535.00,6815.00,12731.00,8790.00,
06/28/19-16:35:13:122,3,971.00,16968.00,8236.74,18262.00,18397.00,24193.00,6820.00,12730.00,8792.00,
06/28/19-16:35:13:122,3,972.00,16968.00,8236.23,16372.00,18240.00,23793.00,6824.00,12731.00,8794.00,
06/28/19-16:35:13:122,3,971.00,16969.00,8236.74,16691.00,18420.00,24336.00,6833.00,12726.00,8786.00,
06/28/19-16:35:13:122,3,975.00,16970.00,8238.28,17134.00,17735.00,24597.00,6831.00,12716.00,8766.00,
06/28/19-16:35:13:122,3,973.00,16969.00,8240.84,18021.00,18224.00,24568.00,6829.00,12723.00,8765.00,
06/28/19-16:35:13:122,3,972.00,16970.00,8240.84,17473.00,17894.00,24570.00,6824.00,12722.00,8768.00,
06/28/19-16:35:13:122,3,972.00,16969.00,8240.84,18047.00,17931.00,24588.00,6824.00,12715.00,8775.00,
06/28/19-16:35:13:122,3,972.00,16968.00,8240.84,17873.00,17602.00,24558.00,6824.00,12731.00,8768.00,
06/28/19-16:35:13:122,3,971.00,16969.00,8240.84,17927.00,17507.00,24454.00,6821.00,12724.00,8768.00,
06/28/19-16:35:13:122,3,973.00,16968.00,8240.84,17637.00,17818.00,24422.00,6832.00,12720.00,8768.00,
06/28/19-16:35:13:122,3,969.00,16969.00,8240.84,18450.00,17531.00,24568.00,6820.00,12720.00,8768.00,
06/28/19-16:35:13:339,3,971.00,16968.00,8238.28,18373.00,17954.00,24439.00,6819.00,12741.00,8830.00,
06/28/19-16:35:13:339,3,971.00,16968.00,8236.74,17403.00,18060.00,24403.00,6822.00,12731.00,8824.00,
06/28/19-16:35:13:339,3,973.00,16968.00,8236.23,18070.00,17777.00,24562.00,6816.00,12740.00,8820.00,
06/28/19-16:35:13:339,3,970.00,16968.00,8236.74,18001.00,18363.00,24389.00,6816.00,12736.00,8814.00,
